id,title,description,availability,condition,price,link,image_link,brand
40,"Fresh Suji - 500g","<p style=""margin: 0px; padding: 0px; outline: 0px; color: #333333; font-family: Arial, Helvetica, sans-serif;"">MabiY Shop provides the highest quality products available in the market.&nbsp;<span class=""a-list-item"" style=""box-sizing: border-box; outline: none; margin: 0px; padding: 0px;"">This is a Vegetarian product. Healthy and nutritious.</span>Less consumption of time and better fuel efficiency in cooking.<span class=""a-list-item"" style=""box-sizing: border-box; outline: none; margin: 0px; padding: 0px;"">Consistency in taste, aroma, and quality across the year.</span><span class=""a-list-item"" style=""box-sizing: border-box; outline: none; margin: 0px; padding: 0px;"">Hygienic packing and best quality control processes.</span><span class=""a-list-item"" style=""box-sizing: border-box; outline: none; margin: 0px; padding: 0px;"">Place in a clean, dry, and airtight container.&nbsp;</span></p>
<p style=""margin: 0px; padding: 0px; outline: 0px; color: #333333; font-family: Arial, Helvetica, sans-serif;"">&nbsp;</p>
<p style=""margin: 0px; padding: 0px; outline: 0px;""><span style=""color: #333333; font-family: Arial, Helvetica, sans-serif;"">The seller kholabazaar international limited offers a wide selection of products from renowned brands in Bangladesh with the promise of a fast, safe,&nbsp;</span><span style=""color: #333333; font-family: Arial, Helvetica, sans-serif;"">and easy online shopping experience through kholabazaar.</span></p>
<p style=""margin: 0px; padding: 0px; outline: 0px;"">&nbsp;</p>","in stock",new,"48.00 BDT",http://127.0.0.1:8003/product/fresh-suji-500g,http://127.0.0.1:8000/media/6316c10b0b053.png,unknown
41,"Fresh Regular Moshur Dal - 1 Kg","<p>Fresh Dal offers the best quality and taste. The Lentils are majorly collected from various local sources, directly from farmers. To ensure the best quality the factory uses the Optical ColourSortex Z+ machine from Switzerland.&nbsp;</p>
<p>The seller kholabazaar international limited offers a wide selection of products from renowned brands in Bangladesh with the promise of a fast, safe,&nbsp;and easy online shopping experience through kholabazaar.</p>","in stock",new,"116.00 BDT",http://127.0.0.1:8003/product/fresh-regular-moshur-dal-1-kg,http://127.0.0.1:8000/media/6316c34fdcce9.png,unknown
42,"Fresh Regular Mashoor Dal - 500gm","<p>Fresh Dal offers the best quality and taste. The Lentils are majorly collected from various local sources, directly from farmers. To ensure the best quality the factory uses the Optical ColourSortex Z+ machine from Switzerland.&nbsp;</p>
<p>The seller kholabazaar international limited offers a wide selection of products from renowned brands in Bangladesh with the promise of a fast, safe,&nbsp;and easy online shopping experience through kholabazaar.</p>","in stock",new,"60.00 BDT",http://127.0.0.1:8003/product/fresh-regular-mashoor-dal-500gm,http://127.0.0.1:8000/media/6316c4952a19d.png,unknown
43,"Fresh Premium Moshur Dal - 1 Kg","<p>This Fresh Premium Moshur Dal offers the best quality and taste. The Lentils are majorly collected from various local sources, directly from farmers. To ensure the best quality the factory uses the Optical ColourSortex Z+ machine from Switzerland.&nbsp;</p>
<p>The seller kholabazaar international limited offers a wide selection of products from renowned brands in Bangladesh with the promise of a fast, safe,&nbsp;and easy online shopping experience through kholabazaar.</p>","in stock",new,"145.00 BDT",http://127.0.0.1:8003/product/fresh-premium-moshur-dal-1-kg,http://127.0.0.1:8000/media/6316c624408f7.png,unknown
44,"Fresh Premium Moshur Dal - 500Gm","<p>This Fresh Premium Moshur Dal offers the best quality and taste. The Lentils are majorly collected from various local sources, directly from farmers. To ensure the best quality the factory uses the Optical ColourSortex Z+ machine from Switzerland.&nbsp;</p>
<p>The seller kholabazaar international limited offers a wide selection of products from renowned brands in Bangladesh with the promise of a fast, safe,&nbsp;and easy online shopping experience through kholabazaar.</p>","in stock",new,"73.00 BDT",http://127.0.0.1:8003/product/fresh-premium-moshur-dal-500gm,http://127.0.0.1:8000/media/6316c75f254bc.png,unknown
45,"Super Fresh Drinking Water - 8 Ltr","<p>Super Fresh Drinking Water is the largest selling and most loved bottled drinking water brand in Bangladesh. We proudly serve progressive, active, young, and energetic individuals who value quality in every drop.&nbsp;With the vision of meeting the scarcity of pure drinking water in the country, a state-of-the-art plant was engineered &amp; installed by the world's best specialists, which was equipped with the latest water treatment facilities.&nbsp;</p>
<p>During the production procedure, strict compliance and hygiene practices are maintained.</p>
<p>The seller kholabazaar international limited offers a wide selection of products from renowned brands in Bangladesh with the promise of a fast, safe,&nbsp;and easy online shopping experience through kholabazaar.</p>","in stock",new,"100.00 BDT",http://127.0.0.1:8003/product/super-fresh-drinking-water-8-ltr,http://127.0.0.1:8000/media/6316cdc403141.png,unknown
46,"Super Fresh Drinking Water - 5 Ltr","<p>Super Fresh Drinking Water is the largest selling and most loved bottled drinking water brand in Bangladesh. We proudly serve progressive, active, young, and energetic individuals who value quality in every drop.&nbsp;With the vision of meeting the scarcity of pure drinking water in the country, a state-of-the-art plant was engineered &amp; installed by the world's best specialists, which was equipped with the latest water treatment facilities.&nbsp;</p>
<p>During the production procedure, strict compliance and hygiene practices are maintained.</p>
<p>The seller kholabazaar international limited offers a wide selection of products from renowned brands in Bangladesh with the promise of a fast, safe,&nbsp;and easy online shopping experience through kholabazaar.</p>","in stock",new,"75.00 BDT",http://127.0.0.1:8003/product/super-fresh-drinking-water-5-ltr,http://127.0.0.1:8000/media/6316cf11a13b6.png,unknown
47,"Super Fresh Drinking Water - 2 Ltr","<p>Super Fresh Drinking Water is the largest selling and most loved bottled drinking water brand in Bangladesh. We proudly serve progressive, active, young, and energetic individuals who value quality in every drop.&nbsp;With the vision of meeting the scarcity of pure drinking water in the country, a state-of-the-art plant was engineered &amp; installed by the world's best specialists, which was equipped with the latest water treatment facilities.&nbsp;</p>
<p>During the production procedure, strict compliance and hygiene practices are maintained.</p>
<p>The seller kholabazaar international limited offers a wide selection of products from renowned brands in Bangladesh with the promise of a fast, safe,&nbsp;and easy online shopping experience through kholabazaar.</p>","in stock",new,"30.00 BDT",http://127.0.0.1:8003/product/super-fresh-drinking-water-2-ltr,http://127.0.0.1:8000/media/6316cfbd2493e.png,unknown
48,"Super Fresh Drinking Water - 1.5 Ltr","<p>Super Fresh Drinking Water is the largest selling and most loved bottled drinking water brand in Bangladesh. We proudly serve progressive, active, young, and energetic individuals who value quality in every drop.&nbsp;With the vision of meeting the scarcity of pure drinking water in the country, a state-of-the-art plant was engineered &amp; installed by the world's best specialists, which was equipped with the latest water treatment facilities.&nbsp;</p>
<p>During the production procedure, strict compliance and hygiene practices are maintained.</p>
<p>The seller kholabazaar international limited offers a wide selection of products from renowned brands in Bangladesh with the promise of a fast, safe,&nbsp;and easy online shopping experience through kholabazaar.</p>","in stock",new,"25.00 BDT",http://127.0.0.1:8003/product/super-fresh-drinking-water-15-ltr,http://127.0.0.1:8000/media/6316d174b1a22.png,unknown
49,"Super Fresh Drinking Water - 1 Ltr","<p>Super Fresh Drinking Water is the largest selling and most loved bottled drinking water brand in Bangladesh. We proudly serve progressive, active, young, and energetic individuals who value quality in every drop.&nbsp;With the vision of meeting the scarcity of pure drinking water in the country, a state-of-the-art plant was engineered &amp; installed by the world's best specialists, which was equipped with the latest water treatment facilities.&nbsp;</p>
<p>During the production procedure, strict compliance and hygiene practices are maintained.</p>
<p>The seller kholabazaar international limited offers a wide selection of products from renowned brands in Bangladesh with the promise of a fast, safe,&nbsp;and easy online shopping experience through kholabazaar.</p>","in stock",new,"20.00 BDT",http://127.0.0.1:8003/product/super-fresh-drinking-water-1-ltr,http://127.0.0.1:8000/media/6316d7a6e9021.png,unknown
50,"Laikou Avocado African Anti Wrinkle Cream - 35gm","<div style=""box-sizing: border-box; -webkit-tap-highlight-color: transparent; outline: 0px; margin: 0px; padding: 0px; color: #222222; font-family: 'Open Sans', Roboto, Arial, Helvetica, sans-serif, SimSun;""><strong style=""box-sizing: border-box; -webkit-tap-highlight-color: transparent; outline: 0px;"" data-spm-anchor-id=""a2g0o.detail.1000023.i0.e7075777J0wTon"">USAGE:</strong></div>
<div style=""box-sizing: border-box; -webkit-tap-highlight-color: transparent; outline: 0px; margin: 0px; padding: 0px; color: #222222; font-family: 'Open Sans', Roboto, Arial, Helvetica, sans-serif, SimSun;"">After cleansing the skin in the morning and evening. Apply a proper amount of the cream to the face and gently massage until absorbed.</div>
<div style=""box-sizing: border-box; -webkit-tap-highlight-color: transparent; outline: 0px; margin: 0px; padding: 0px; color: #222222; font-family: 'Open Sans', Roboto, Arial, Helvetica, sans-serif, SimSun;"">&nbsp;</div>
<div style=""box-sizing: border-box; -webkit-tap-highlight-color: transparent; outline: 0px; margin: 0px; padding: 0px; color: #222222; font-family: 'Open Sans', Roboto, Arial, Helvetica, sans-serif, SimSun;""><strong style=""box-sizing: border-box; -webkit-tap-highlight-color: transparent; outline: 0px;"">CAUTIONS:</strong></div>
<div style=""box-sizing: border-box; -webkit-tap-highlight-color: transparent; outline: 0px; margin: 0px; padding: 0px; color: #222222; font-family: 'Open Sans', Roboto, Arial, Helvetica, sans-serif, SimSun;"">1, Rinse out with clean water immediately if the product enters the eyes by accident.</div>
<div style=""box-sizing: border-box; -webkit-tap-highlight-color: transparent; outline: 0px; margin: 0px; padding: 0px; color: #222222; font-family: 'Open Sans', Roboto, Arial, Helvetica, sans-serif, SimSun;"">2. Keep out of reach of children and avoid eating.</div>
<div style=""box-sizing: border-box; -webkit-tap-highlight-color: transparent; outline: 0px; margin: 0px; padding: 0px; color: #222222; font-family: 'Open Sans', Roboto, Arial, Helvetica, sans-serif, SimSun;"">&nbsp;</div>
<div style=""box-sizing: border-box; -webkit-tap-highlight-color: transparent; outline: 0px; margin: 0px; padding: 0px; color: #222222; font-family: 'Open Sans', Roboto, Arial, Helvetica, sans-serif, SimSun;""><strong style=""box-sizing: border-box; -webkit-tap-highlight-color: transparent; outline: 0px;"">STORAGE METHOD:</strong></div>
<div style=""box-sizing: border-box; -webkit-tap-highlight-color: transparent; outline: 0px; margin: 0px; padding: 0px; color: #222222; font-family: 'Open Sans', Roboto, Arial, Helvetica, sans-serif, SimSun;"">To avoid direct sun exposure, please store the moisturizer in dry and cold areas.</div>
<div style=""box-sizing: border-box; -webkit-tap-highlight-color: transparent; outline: 0px; margin: 0px; padding: 0px; color: #222222; font-family: 'Open Sans', Roboto, Arial, Helvetica, sans-serif, SimSun;"">&nbsp;&nbsp;</div>
<div style=""box-sizing: border-box; -webkit-tap-highlight-color: transparent; outline: 0px; margin: 0px; padding: 0px;"">
<div style=""box-sizing: border-box; -webkit-tap-highlight-color: transparent; outline: 0px; margin: 0px; padding: 0px;""><span style=""color: #222222; font-family: 'Open Sans', Roboto, Arial, Helvetica, sans-serif, SimSun;"">The seller kholabazaar international limited offers a wide selection of products from renowned brands in Bangladesh with the promise of a fast, safe, and easy online shopping experience through kholabazaar.</span></div>
</div>","in stock",new,"500.00 BDT",http://127.0.0.1:8003/product/laikou-avocado-african-anti-wrinkle-cream-35gm,http://127.0.0.1:8000/media/63397344c2d1e.png,unknown
51,"Super Fresh Drinking Water - 500ml","<p>Super Fresh Drinking Water is the largest selling and most loved bottled drinking water brand in Bangladesh. We proudly serve progressive, active, young, and energetic individuals who value quality in every drop.&nbsp;With the vision of meeting the scarcity of pure drinking water in the country, a state-of-the-art plant was engineered &amp; installed by the world's best specialists, which was equipped with the latest water treatment facilities.&nbsp;</p>
<p>During the production procedure, strict compliance and hygiene practices are maintained.</p>
<p>The seller kholabazaar international limited offers a wide selection of products from renowned brands in Bangladesh with the promise of a fast, safe,&nbsp;and easy online shopping experience through kholabazaar.</p>","in stock",new,"15.00 BDT",http://127.0.0.1:8003/product/super-fresh-drinking-water-500ml,http://127.0.0.1:8000/media/6316d6df463be.png,unknown
52,"Super Fresh Drinking Water - 330ml","<p>Super Fresh Drinking Water is the largest selling and most loved bottled drinking water brand in Bangladesh. We proudly serve progressive, active, young, and energetic individuals who value quality in every drop.&nbsp;With the vision of meeting the scarcity of pure drinking water in the country, a state-of-the-art plant was engineered &amp; installed by the world's best specialists, which was equipped with the latest water treatment facilities.&nbsp;</p>
<p>During the production procedure, strict compliance and hygiene practices are maintained.</p>
<p>The seller kholabazaar international limited offers a wide selection of products from renowned brands in Bangladesh with the promise of a fast, safe,&nbsp;and easy online shopping experience through kholabazaar.</p>","in stock",new,"10.00 BDT",http://127.0.0.1:8003/product/super-fresh-drinking-water-330ml,http://127.0.0.1:8000/media/6316d8d06521d.png,unknown
